scorr_column,nb_scorrs
3,404
4,597
5,828
6,961
7,1068
8,1219
9,1244
10,1255
11,1385
12,1360
13,1393
14,1388
15,1515
16,1517
17,1524
18,1551
19,1576
20,1499
21,1610
22,1577
23,1585
24,1587
25,1640
26,1717
27,1654
28,1613
29,1669
30,1687
31,1664
32,1639
33,1702
34,1722
35,1680
36,1660
37,1706
38,1760
39,1689
40,1707
41,1712
42,1642
43,1775
44,1736
45,1768
46,1725
47,1624
48,1660
49,1728
50,1671
51,1707
52,1764
53,1680
54,1648
55,1578
56,1648
57,1685
58,1576
59,1631
60,1608
61,1517
62,1535
63,1467
64,1372
65,1423
66,1304
67,1357
68,1217
69,1131
70,1178
71,1070
72,1037
73,897
74,773
75,636
76,496
77,298
